"ItemCode","ItemName","Brand","Grade","Thickness","Width","Length","BatchNum","CoilNo","Quantity","WhsCode","Bin","GRPONo","GRPODate"
"NMDC000000000020","NMDC HR COIL 16MMX1500","NMDC","E250","16.00","1500","","JW-009862","D104276208","21.040000","38","38-A-SHED-A4-A5","1129","2026-08-06"
"NMDC000000000020","NMDC HR COIL 16MMX1500","NMDC","E250","16.00","1500","","JW-009894","D204215106","21.050000","38","38-B-SHED-B3-B4","1154","2026-08-08"
"NMDC000000000021","NMDC HR COIL 8MMX1500/E350","NMDC","E350","8.00","1500","","JW-010382","D204534207","11.393000","38","38-A-SHED-A5-A6","1344","2026-08-22"
"NMDC000000000021","NMDC HR COIL 8MMX1500/E350","NMDC","E350","8.00","1500","","JW-010442","D204534204","20.850000","38","38-A-SHED-A6-A7","1359","2026-08-24"
"NMDC000000000021","NMDC HR COIL 8MMX1500/E350","NMDC","E350","8.00","1500","","JW-010443","D204534205","21.080000","38","38-A-SHED-A6-A7","1359","2026-08-24"
"NMDC000000000022","NMDC HR COIL 12MMX1500/E350","NMDC","E350","12.00","1500","","JW-010412","D204533201","17.662000","38","38-A-SHED-A7-A8","1353","2026-08-24"
"NMDC000000000022","NMDC HR COIL 12MMX1500/E350","NMDC","E350","12.00","1500","","JW-010413","D204533204","21.070000","38","38-A-SHED-A7-A8","1353","2026-08-24"
"NMDC000000000022","NMDC HR COIL 12MMX1500/E350","NMDC","E350","12.00","1500","","JW-010440","D204533203","21.110000","38","38-A-SHED-A14-A15","1358","2026-08-24"
"NMDC000000000022","NMDC HR COIL 12MMX1500/E350","NMDC","E350","12.00","1500","","JW-010441","D204533206","21.070000","38","38-A-SHED-A12-A13","1358","2026-08-24"
"NMDC000000000025","NMDC HR COIL 3MMX1250 E250","NMDC","E250","3.00","1250","","JW-009802","D204101106","20.860000","38","38-A-SHED-A12-A13","1105","2026-07-31"
"NMDC000000000025","NMDC HR COIL 3MMX1250 E250","NMDC","E250","3.00","1250","","JW-009944","D204287204","21.000000","38","38-A-SHED-A9-A10","1190","2026-08-10"
"NMDC000000000025","NMDC HR COIL 3MMX1250 E250","NMDC","E250","3.00","1250","","JW-009945","D204287207","20.980000","38","38-A-SHED-A9-A10","1190","2026-08-10"
"NMDC000000000025","NMDC HR COIL 3MMX1250 E250","NMDC","E250","3.00","1250","","JW-009953","D104398103","21.000000","38","38-A-SHED-A23-A24","1194","2026-08-10"
"NMDC000000000025","NMDC HR COIL 3MMX1250 E250","NMDC","E250","3.00","1250","","JW-009954","D104398104","21.020000","38","38-A-SHED-A22-A23","1195","2026-08-11"
"NMDC000000000025","NMDC HR COIL 3MMX1250 E250","NMDC","E250","3.00","1250","","JW-009955","D104398105","21.080000","38","38-A-SHED-A22-A23","1195","2026-08-11"
