"ItemCode","ItemName","Brand","Grade","Thickness","Width","Length","TotalQty","TotalNos"
"HRC000000000085","HR PLATE 10X2000X6300XE350","OTHER","IS2062 E350 BR","10.000000","2000.000000","6300.000000","2.941000","3.000000"
"HRC000000000089","HR PLATE 12X1250X6300XE250","OTHER","E250","12.000000","1250.000000","6300.000000","36.900000","50.000000"
"HRC000000000090","HR PLATE 12X1500X6300XE250","OTHER","E250","12.000000","1500.000000","6300.000000","32.633000","43.000000"
"HRC000000000091","HR PLATE 12X2000X6300XE250","OTHER","IS2062 E250 BR","12.000000","2000.000000","6300.000000","8.414000","7.000000"
"HRC000000000093","HR PLATE 12X1250X5000XE350","OTHER","IS2062 E350 BR","12.000000","1250.000000","5000.000000","0.591000","1.000000"
"HRC000000000094","HR PLATE 12X1250X6300XE350","OTHER","E350","12.000000","1250.000000","6300.000000","7.461000","10.000000"
"HRC000000000095","HR PLATE 12X1500X6300XE350","OTHER","E350","12.000000","1500.000000","6300.000000","3.426000","4.000000"
"HRC000000000097","HR PLATE 12X2000X6300XE350","OTHER","E350","12.000000","2000.000000","6300.000000","7.158000","6.000000"
"HRC000000000102","HR PLATE 14X1500X6300XE250","OTHER","E250","14.000000","1500.000000","6300.000000","3.063000","3.000000"
"HRC000000000103","HR PLATE 14X2000X6300XE250","OTHER","IS2062 E250 BR","14.000000","2000.000000","6300.000000","4.175000","3.000000"
"HRC000000000111","HR PLATE 16X1250X2500XE250","OTHER","E250","16.000000","1250.000000","2500.000000","5.614000","15.000000"
"HRC000000000112","HR PLATE 16X1250X5000XE250","OTHER","E250","16.000000","1250.000000","5000.000000","1.577000","2.000000"
"HRC000000000113","HR PLATE 16X1250X6300XE250","OTHER","E250","16.000000","1250.000000","6300.000000","0.412000","1.000000"
"HRC000000000114","HR PLATE 16X1500X6300XE250","OTHER","E250","16.000000","1500.000000","6300.000000","12.565000","11.000000"
"HRC000000000121","HR PLATE 16X1500X6300XE350","OTHER","E350","16.000000","1500.000000","6300.000000","3.529000","3.000000"
