Category,ItemGroup,ItemCode,ItemName,CardName,Yr,Mth,Qty,Value,Docs
1. SAIL HR,SAIL HR COIL,HR000000000881,SAIL NMDC HR COIL 12MMX1500,STEEL AUTHORITY OF INDIA LTD - PLATE  (SAP CODE 1000138599),2025,4,141.415000,7258605.650000,5
1. SAIL HR,SAIL HR COIL,HR000000000882,SAIL NMDC HR COIL 10MMX1500,STEEL AUTHORITY OF INDIA LTD - PLATE  (SAP CODE 1000138599),2025,4,110.600000,5763366.000000,4
1. SAIL HR,SAIL HR COIL,HR000000000915,SAIL HR COIL 5.8MMX1500/HSFQ450,STEEL AUTHORITY OF INDIA LTD - PLATE  (SAP CODE 1000138599),2025,4,54.510000,3128178.450000,1
1. SAIL HR,SAIL HR COIL,HR000000000916,SAIL HR COIL 5.8MMX1250/HSFQ450,STEEL AUTHORITY OF INDIA LTD - PLATE  (SAP CODE 1000138599),2025,4,64.390000,3651818.320000,1
1. SAIL HR,SAIL HR COIL,HR000000000918,SAIL HR COIL 10MMX1830/E350,STEEL AUTHORITY OF INDIA LTD - PLATE  (SAP CODE 1000138599),2025,4,31.950000,1759806.000000,1
1. SAIL HR,SAIL HR COIL,HR000000000925,SAIL NMDC HR COIL 4MMX1250,STEEL AUTHORITY OF INDIA LTD - PLATE  (SAP CODE 1000138599),2025,4,21.040000,1096394.400000,1
1. SAIL HR,SAIL HR COIL,HR000000000927,SAIL NMDC HR COIL 14MMX1500,STEEL AUTHORITY OF INDIA LTD - PLATE  (SAP CODE 1000138599),2025,4,21.080000,1077398.800000,1
2. SAIL STRUCTURALS,SAIL STRUCTURAL,MS000000000021,SAIL MS ANGLE 65X65X6MM,STEEL AUTHORITY OF INDIA LTD - STRUCTURALS  (SAP CODE 1000142915),2025,4,82.270000,4092907.820000,2
2. SAIL STRUCTURALS,SAIL STRUCTURAL,MS000000000023,SAIL MS ANGLES 75X75X10MM,STEEL AUTHORITY OF INDIA LTD - STRUCTURALS  (SAP CODE 1000142915),2025,4,60.500000,3183092.060000,1
2. SAIL STRUCTURALS,SAIL STRUCTURAL,MS000000000030,SAIL MS CHANNEL 100X50MM,STEEL AUTHORITY OF INDIA LTD - STRUCTURALS  (SAP CODE 1000142915),2025,4,125.700000,6811661.730000,2
2. SAIL STRUCTURALS,SAIL STRUCTURAL,MS000000000031,SAIL MS CHANNEL 125X65MM,STEEL AUTHORITY OF INDIA LTD - STRUCTURALS  (SAP CODE 1000142915),2025,4,126.700000,6798512.520000,2
2. SAIL STRUCTURALS,SAIL STRUCTURAL,MS000000000036,SAIL MS CHANNEL 250X82MM,STEEL AUTHORITY OF INDIA LTD - STRUCTURALS  (SAP CODE 1000142915),2025,4,255.220000,13530336.850000,4
